Keyword / Suchanfrage;bestehende Zielseite;Klicks;Impressionen;CTR;Position;Suchvolumen;CPC;Suchintention;Themencluster;Hauptkeyword oder Nebenkeyword;passende bestehende Seite;mögliche neue Seite;Kannibalisierungsrisiko;Priorität;Handlungsempfehlung;Status;Begründung;Datenquelle;Datenart;URL-Impressionen (nicht Keyword-Messwert);Ursprüngliches vermutetes Keyword;Veröffentlichung
wie oft Auto aufbereiten lassen;https://www.powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;;;;;;;informativ;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/blog/wie-oft-auto-aufbereiten-lassen.html;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;9;wie oft Auto aufbereiten lassen;ausstehend
Chiptuning Erfurt;https://www.powertech-performance.com/chiptuning;;;;;;;kommerziell / lokal;Chiptuning;Hauptkeyword (redaktionell);https://www.powertech-performance.com/chiptuning;;"K2: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Chiptuning Erfurt;ausstehend
Autoaufbereitung Eisenach;https://www.powertech-performance.com/eisenach;;;;;;;kommerziell / Einzugsgebiet;Einzugsgebiet;Hauptkeyword (redaktionell);https://www.powertech-performance.com/eisenach;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Eisenach;ausstehend
Fahrzeugaufbereitung Termin vorbereiten;https://www.powertech-performance.com/fahrzeugaufbereitung-aus-erfurt;;;;;;;informativ / kommerziell;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/fahrzeugaufbereitung-aus-erfurt;;"K5: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Fahrzeugaufbereitung Erfurt;ausstehend
Autoaufbereitung Gera;https://www.powertech-performance.com/gera;;;;;;;kommerziell / Einzugsgebiet;Einzugsgebiet;Hauptkeyword (redaktionell);https://www.powertech-performance.com/gera;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Gera;ausstehend
Autoaufbereitung Glossar;https://www.powertech-performance.com/glosar;;;;;;;kommerziell / lokal;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/glosar;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Glossar;ausstehend
Autoaufbereitung Gotha;https://www.powertech-performance.com/gotha;;;;;;;kommerziell / Einzugsgebiet;Einzugsgebiet;Hauptkeyword (redaktionell);https://www.powertech-performance.com/gotha;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Gotha;ausstehend
Autoaufbereitung Erfurt;https://www.powertech-performance.com/;;;;;;;kommerziell / lokal;Autoaufbereitung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/;;"K5: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;130;Autoaufbereitung Erfurt;ausstehend
Autoaufbereitung Jena;https://www.powertech-performance.com/jena;;;;;;;kommerziell / Einzugsgebiet;Einzugsgebiet;Hauptkeyword (redaktionell);https://www.powertech-performance.com/jena;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Jena;ausstehend
Keramikversiegelung Erfurt;https://www.powertech-performance.com/luxus-aufbereitung;;;;;;;kommerziell / lokal;Keramikversiegelung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/luxus-aufbereitung;;"K3: Rollen/Verlinkung teilweise verbessert; Wirkung mangels Query-URL-Daten offen";P1;beobachten;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Keramikversiegelung Erfurt Garantie;ausstehend
Autoaufbereitung Nordhausen;https://www.powertech-performance.com/nordhausen;;;;;;;kommerziell / Einzugsgebiet;Einzugsgebiet;Hauptkeyword (redaktionell);https://www.powertech-performance.com/nordhausen;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Nordhausen;ausstehend
Termin Autoaufbereitung Erfurt;https://www.powertech-performance.com/online-termin-buchen;;;;;;;navigational;Kontakt / Service / Recht;Hauptkeyword (redaktionell);https://www.powertech-performance.com/online-termin-buchen;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Termin Autoaufbereitung Erfurt;ausstehend
Kontakt Autoaufbereitung Erfurt;https://www.powertech-performance.com/pages/kontakt.html;;;;;;;navigational;Kontakt / Service / Recht;Hauptkeyword (redaktionell);https://www.powertech-performance.com/pages/kontakt.html;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Kontakt Autoaufbereitung Erfurt;ausstehend
Autoaufbereitung Suhl;https://www.powertech-performance.com/suhl;;;;;;;kommerziell / Einzugsgebiet;Einzugsgebiet;Hauptkeyword (redaktionell);https://www.powertech-performance.com/suhl;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;teilweise umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;Autoaufbereitung Suhl;ausstehend
Trockeneisreinigung Erfurt;https://www.powertech-performance.com/trockeneisreinigung;;;;;;;kommerziell / lokal;Trockeneisreinigung;Hauptkeyword (redaktionell);https://www.powertech-performance.com/trockeneisreinigung;;"nicht belegt; keine Query-URL-Zeitreihen";P2;keine Änderung notwendig;umgesetzt;"Lokale Optimierung umgesetzt; nächste Bewertung nach Veröffentlichung und mit Query-URL-Zeitreihe.";"SEO-Analyse und aktuelle Inhalte; ursprünglicher Index unverändert archiviert";Keyword-Hypothese, keine gemessene Suchanfrage;;;ausstehend
Felgenversiegelung pflegen;;;;;;;;informativ;Felgenpflege;Planungshypothese;https://www.powertech-performance.com/#leistungen;https://www.powertech-performance.com/blog/felgenversiegelung-pflege/;;P3;beobachten;nicht umgesetzt;"Kein Nachfragebeleg und keine produktspezifischen Pflegeangaben; kein zusätzlicher generischer Ratgeber.";;keine Nachfrage-/Produktdaten vorhanden;;;keine Datei erstellt
